iter	Passed	Remaining
435	1618	2093
436	1622	2089
437	1625	2085
438	1628	2081
439	1631	2076
440	1635	2072
441	1638	2068
442	1641	2063
443	1644	2059
444	1648	2056
445	1651	2051
446	1653	2045
447	1656	2040
448	1658	2035
449	1660	2029
450	1663	2024
451	1667	2021
452	1670	2017
453	1672	2011
454	1675	2006
455	1677	2001
456	1681	1997
457	1684	1993
458	1687	1988
459	1692	1986
460	1695	1981
461	1702	1982
462	1705	1977
463	1708	1973
464	1712	1970
465	1716	1967
466	1720	1963
467	1723	1959
468	1727	1956
469	1731	1952
470	1735	1948
471	1737	1944
472	1740	1939
473	1743	1934
474	1747	1931
475	1752	1929
476	1755	1924
477	1757	1919
478	1761	1916
479	1764	1911
480	1767	1906
481	1770	1902
482	1774	1899
483	1777	1895
484	1780	1890
485	1782	1885
486	1786	1881
487	1789	1877
488	1795	1876
489	1797	1871
490	1801	1867
491	1805	1864
492	1808	1860
493	1811	1855
494	1814	1850
495	1816	1845
496	1819	1841
497	1823	1838
498	1827	1834
499	1829	1829
500	1831	1824
501	1834	1820
502	1837	1815
503	1842	1812
504	1845	1808
505	1849	1805
506	1852	1801
507	1855	1797
508	1859	1793
509	1862	1789
510	1864	1784
511	1867	1779
512	1870	1775
513	1873	1771
514	1875	1766
515	1878	1761
516	1880	1756
517	1883	1752
518	1886	1748
519	1889	1744
520	1892	1739
521	1895	1735
522	1897	1731
523	1901	1727
524	1903	1722
525	1906	1718
526	1908	1713
527	1911	1709
528	1914	1704
529	1917	1700
530	1920	1695
531	1922	1691
532	1925	1686
533	1927	1682
534	1931	1679
535	1934	1674
536	1936	1669
537	1939	1665
538	1941	1660
539	1944	1656
540	1948	1652
541	1950	1648
542	1953	1643
543	1958	1641
544	1963	1638
545	1966	1635
546	1971	1632
547	1975	1629
548	1980	1627
549	1983	1622
550	1985	1618
551	1988	1613
552	1991	1609
553	1996	1606
554	1998	1602
555	2001	1598
556	2003	1593
557	2006	1589
558	2010	1586
559	2013	1581
560	2015	1577
561	2018	1572
562	2020	1568
563	2023	1564
564	2026	1560
565	2029	1556
566	2031	1551
567	2034	1546
568	2036	1542
569	2039	1538
570	2042	1534
571	2044	1529
572	2047	1525
573	2049	1521
574	2052	1517
575	2055	1513
576	2058	1508
577	2060	1504
578	2063	1500
579	2065	1495
580	2068	1491
581	2070	1487
582	2074	1483
583	2076	1479
584	2079	1474
585	2081	1470
586	2084	1466
587	2088	1463
588	2090	1458
589	2093	1454
590	2095	1450
591	2098	1446
592	2101	1442
593	2104	1438
594	2106	1433
595	2108	1429
